ApartmentID,ApartmentName,ApartmentAddress,ContactPerson,MobileNumber,EmailID,CropWanted,QuantityWanted,MaxPrice,DeliveryPreference
A020,Royal Greens,"Mysuru, Karnataka",Mr. Mahesh,9876541141,mahesh@royalgreens.com,Tomato,110,32,Pickup
A021,Lake Shore Apartments,"Mysuru, Karnataka",Mrs. Vidya,9876541142,vidya@lakeshore.com,Carrot,85,38,Drop-off
A022,Green Leaf Enclave,"Mysuru, Karnataka",Mr. Arjun,9876541143,arjun@greenleaf.com,Spinach,70,22,Pickup
A023,Evergreen Residency,"Mysuru, Karnataka",Ms. Geetha,9876541144,geetha@evergreen.com,Onion,220,28,Drop-off
A024,Highland Homes,"Mysuru, Karnataka",Mr. Raj,9876541145,raj@highland.com,Potato,200,25,Pickup
A025,Silver Springs,"Mysuru, Karnataka",Mrs. Lalitha,9876541146,lalitha@silver.com,Ginger,55,80,Drop-off
A026,Golden Residency,"Mysuru, Karnataka",Mr. Manish,9876541147,manish@golden.com,Garlic,40,150,Pickup
A027,Pearl Gardens,"Mysuru, Karnataka",Ms. Nisha,9876541148,nisha@pearl.com,Coriander,50,18,Drop-off
A028,Sai Balaji Enclave,"Mysuru, Karnataka",Mr. Ravi,9876541149,ravi@saibalaji.com,Green Peas,90,42,Pickup
A029,Royal Orchid Homes,"Mysuru, Karnataka",Mrs. Suma,9876541150,suma@orchid.com,Cucumber,100,27,Drop-off
A030,Elite Habitat,"Mysuru, Karnataka",Mr. Akash,9876541151,akash@elitehab.com,Beans,70,35,Pickup
A031,Crown Residency,"Mysuru, Karnataka",Ms. Preethi,9876541152,preethi@crown.com,Brinjal,90,33,Drop-off
A032,Sunshine Towers,"Mysuru, Karnataka",Mr. Darshan,9876541153,darshan@sunshine.com,Cabbage,120,28,Pickup
A033,Blue Lotus Homes,"Mysuru, Karnataka",Mrs. Shruthi,9876541154,shruthi@lotus.com,Apple,70,160,Drop-off
A034,Green Horizon,"Mysuru, Karnataka",Mr. Yash,9876541155,yash@horizon.com,Orange,100,65,Pickup
A035,City Scape Residency,"Mysuru, Karnataka",Ms. Divya,9876541156,divya@cityscape.com,Tomato,130,30,Drop-off
A036,SJR Luxuria,"Mysuru, Karnataka",Mr. Mohan,9876541157,mohan@sjr.com,Carrot,75,34,Pickup
A037,Green Nest Homes,"Mysuru, Karnataka",Mrs. Shobha,9876541158,shobha@greennest.com,Onion,210,27,Drop-off
A038,Royal Heritage,"Mysuru, Karnataka",Mr. Keshav,9876541159,keshav@heritage.com,Chilli,50,115,Pickup
A039,Emerald Residency,"Mysuru, Karnataka",Ms. Harini,9876541160,harini@emerald.com,Beetroot,95,30,Drop-off
A040,Serene Meadows,"Mysuru, Karnataka",Mr. Rohan,9876541161,rohan@serene.com,Lettuce,60,50,Pickup
A041,Golden Heights,"Mysuru, Karnataka",Ms. Meghana,9876541162,meghana@goldenhts.com,Radish,80,28,Drop-off
A042,Crystal Park,"Mysuru, Karnataka",Mr. Vinod,9876541163,vinod@crystal.com,Spinach,65,20,Pickup
A043,Hill Crest Enclave,"Mysuru, Karnataka",Mrs. Anu,9876541164,anu@hillcrest.com,Tomato,100,31,Drop-off
A044,Skyline Greens,"Mysuru, Karnataka",Mr. Ajith,9876541165,ajith@skyline.com,Green Peas,110,40,Pickup
A045,Sukruthi Residency,"Mysuru, Karnataka",Ms. Latha,9876541166,latha@sukruthi.com,Onion,230,29,Drop-off
A046,Green Palace,"Mysuru, Karnataka",Mr. Rakesh,9876541167,rakesh@greenpalace.com,Carrot,85,26,Pickup
A047,Sun Park Towers,"Mysuru, Karnataka",Mrs. Rekha,9876541168,rekha@sunpark.com,Spinach,75,21,Drop-off
A048,Vibrant Meadows,"Mysuru, Karnataka",Mr. Sudeep,9876541169,sudeep@vibrant.com,Watermelon,190,20,Pickup
A049,Prestige Parkside,"Mysuru, Karnataka",Ms. Tanya,9876541170,tanya@parkside.com,Banana,170,22,Drop-off
A050,Urban Lakes,"Mysuru, Karnataka",Mr. Kishore,9876541171,kishore@urbanlakes.com,Cabbage,110,26,Pickup
